編號,名稱,詳細說明,參與對象,活動地點,地址,電話,主辦單位,開始時間,結束時間,周期性活動,非周期性活動,網站,照片連結1,照片說明1,照片連結2,照片說明2,照片連結3,照片說明3,X座標,Y座標,分類1,分類2,地圖/簡圖連結,交通資訊,停車資訊,費用,注意事項,縣市,鄉鎮
C2_371020000A_003650,2024金門國際海洋藝術季,金門國際海洋藝術季邁入第四年，以「湖光馥郁」為主題，透過國內外藝術家共創展現金門之美。作品遍布太湖遊憩區、新市公園、高洞、光華園酒窖等地。包括李蕢至以竹編呈現高粱酒意象的《輕撫波光》、吳騏融合田野與迷彩創作的《田間迷彩》、Lua Rivera於134高地打造的《織構岩景》、天衍光藝設計向奧運選手致敬的《巔峰之耀！》等，皆呼應自然、文化與人文精神。王振瑋在高洞創作《時空漩渦》，賦予軍事遺址全新詮釋；成若涵的紙雕作品《隱》則展現內斂美學。藝術季透過多元形式，喚起觀者對金門土地的情感連結，展現藝術與自然共融的魅力。 水舞展演時程展演期間：2024年10月4日至2025年2月28日。平日(周一至周五)展演4場次。平日展演時間：18:30、19:00、19:30、20:00。假日(周六、周日)展演6場次。假日展演時間：18:00、18:30、19:00、19:30、20:00、20:30。展演長度：概為5分鐘，非展演時段以「光束」暖場。 裝置藝術點位1. 吳騏 57 / 光華酒窖 / 田間迷彩2. Lua Rivera / 134高地暗空園區 / 織構岩景3. 王振瑋 / 高洞 / 時空漩渦4. 成若涵 / 經武酒窖 / 隱5. 李蕢至 / 太湖中正公園旁步道區 / 輕撫波光6.天衍光藝設計/新市公園/巔峰之耀主辦單位：金門縣政府觀光處活動時間：2024年10月4日-2025年2月28日活動地點：金湖鎮周邊連絡電話：李先生 082-318823 #62747,,詳見官網,,886-8-2318823,金門縣政府,10/4/2024 12:00:00 AM,2/28/2025 11:59:59 PM,,,,,,,,,,118.427990,24.437690,03,  ,,,,,,金門縣,金湖鎮
C2_371020000A_003793,2025金門馬拉松,"第18屆金門馬拉松將於2025年1月18日至19日登場，賽事共分為兩天舉辦，首先1月18日為健康休閒組（健跑組與健走組）於金城田徑場率先開跑，限額7,000人；競賽組（全馬、半馬、路跑組）則於翌日（1月19日）在金馬聯合服務中心前廣場開跑，限額8,800位（全馬2,000位\半馬3,300位\路跑組3,500位），將於6月28日下午3時起即可上網報名競賽組，並於同日下午6時開放健康休閒組報名，各項目名額有限，不要錯過報名機會。2025金門馬也將採取全新路線與全新景點，先往金門西南區方向跑再逆時針環島一圈回終點金馬聯合服務中心前廣場。健跑與健走組完賽選手可領取300mL限量的紀念酒，享用賽後風味餐。另，金門馬賽事除沿線有熱情的啦啦隊，仍有兩棲蛙人列隊競跑、輕型戰術車當前導車並安排中型戰術車當殿後車。競賽組選手回終點後可獲得大會贈送精美的完賽獎牌、大浴巾及限量精美瓷瓶紀念酒等紀念品，並可再至贊助商及風味餐攤位接受滿滿的能量補給，田徑場內也有精彩歌舞嘉年華會與摸彩活動等。主辦單位：金門縣政府起跑地點：金馬聯合服務中心前廣場各活動時間及地點以主辦單位最新公告為主",,詳見官網,,886-8-2318823,金門縣政府,1/18/2025 12:00:00 AM,1/19/2025 11:59:59 PM,,,,,,,,,,118.310750,24.431640,03,  ,,,,,,金門縣,金城鎮
C2_371020000A_003910,114年春節活動,金門國際海洋藝術季活動時間：113年10月4日至114年2月28日活動地點：1.金湖地區：藝術品2.新市256：廣宣場域大型藝術品6座、微型作品6組，展期至114年2月28日止。主辦單位：金門縣政府 觀光處聯絡電話：082-318823#62747  李慶對 迎新春假日花市活動時間：1月25日活動地點：金門縣林務所林務所攜手地區園藝業者舉辦新春花市活動，現場提供應景花卉盆景供選購及美味餐車等活動，增添年節氣氛。主辦單位：金門縣林務所 造林課聯絡電話：082-352846#309  李岱蓉 酒甕書法揮毫活動時間：1月25日活動地點：金門縣林務所配合假日花市活動，邀請金門縣書法學會大師於大酒甕上辦理新春書法揮毫，營造濃厚年節喜慶氛圍。主辦單位：金門縣林務所 經理課聯絡電話：082-352846#206  王思皓 2025金廈兩岸煙火施放活動活動時間：114年1月29日(大年初一)活動地點：烈嶼鄉上林村將軍廟活動由廈門市台商投資企業協會與本府配合辦理，為共同營造兩岸農曆春節歡慶氣氛，訂於114年1月29日（大年初一）晚上20時00分至20時30分，在烈嶼鄉上林村海濱廣場舉辦。主辦單位：金門縣政府 觀光處聯絡電話：082-318823#62732  何俊昇保生大帝春節活動活動時間：1月29日至31日(大年初一至初三)活動地點：金門縣烈嶼鄉保生大帝廟初一、初二初賽及初三決賽，初賽擲得3次聖筊可進入決賽，進入決賽者以連續擲得多次聖筊者為冠軍，獲得轎車。主辦單位：烈嶼保生大帝廟管理委員會聯絡電話：0933-285-083  方榮森 金沙鎮慶春節陣頭遊行活動時間：1月29日至1月31日(大年初一至初三)活動地點：金沙鎮為活絡金沙鎮年節氣氛，使返鄉民眾感受濃厚年味。主辦單位：金沙鎮公所聯絡電話：082-352150  陳韋辰 迎新春農業展活動時間：1月29日至1月31日(大年初一至初三)活動地點：金門縣林務所林務所森林公園新設多項新春裝置，熱鬧喜氣迎新年，並舉辦多肉溫室特展及親子互動遊樂等多項活動，提供民眾走春踏青的好去處。主辦單位：金門縣林務所造林課、經理課聯絡電話：082-35284...,,詳見官網,,886-8-2318823,金門縣政府,1/29/2025 12:00:00 AM,3/2/2025 11:59:59 PM,,,,,,,,,,118.317050,24.435860,03,  ,,,,,,金門縣,金城鎮
C2_371020000A_003911,元宵活動,元宵節是農曆新年的第一個月圓之夜，是祭月、賞月的日子，也象徵著春天的到來，為復甦沙金沙生氣，用以結合傳統民俗藝術之美，打造一項親子活動，讓逐漸沒落的沙美街道能有更多人潮前來參訪。主辦單位：金沙鎮公所活動時間：2月活動地點：金沙鎮連絡電話：陳小姐 082-352150 各活動時間及地點以主辦單位最新公告為主,,詳見官網,,886-8-2318823,金門縣政府,2/1/2025 12:00:00 AM,2/28/2025 11:59:59 PM,,,,,,,,,,118.412980,24.488930,03,  ,,,,,,金門縣,金沙鎮
C2_371020000A_003912,2025綠色岐蹟．烈嶼綠石槽活動,一、活動日期：114年3月1日起至5月31日止二、活動內容：（一）低碳載具暢遊綠石槽：活動期間搭乘電瓶車，憑票兌換宣導品1份，數量有限，贈完為止。（二）寫張明信片給一年後的自己：活動期間至青岐港生態小教室領取一張明信片，於明信片上寫下祝福的話，活動結束後本所將統一寄出，活動期間每人限領1次。（三）玩「轉」綠色岐蹟：活動期間至青岐港生態小教室領取一張明信片，並轉動轉盤，完成活動指定內容，即可領取活動紀念品1份，數量有限，贈完為止。（四）「綠色岐蹟．寫生徵圖比賽」：以本鄉綠石槽為主題，收件期間為2025年6月1日至6月16日，獎金豐富，詳情請參考活動簡章。三、好康報報：電瓶車票價限時優惠，自114年3月1日起至5月31日止，全票250元限時調降至優惠價150元，好康只在綠石槽季節限定才有喔，電瓶車預約專線082-362952、082-363455主辦單位：烈嶼鄉公所農觀課活動地點：烈嶼鄉青岐港連絡電話：羅小姐 082-364510各活動時間及地點以主辦單位最新公告為主,,詳見官網,,886-8-2318823,金門縣政府,3/1/2025 12:00:00 AM,5/31/2025 11:59:59 PM,,,,,,,,,,118.230740,24.412160,03,  ,,,,,,金門縣,烈嶼鄉
C2_371020000A_003913,2025單車的香格里拉-金門國家公園生態樂騎3日遊,金門國家公園2025單車的香格里拉活動，延續過去深受好評的3日騎遊方式，由專業領騎帶領民眾認識金門傳統聚落之美、感受古早味的生活文化、體驗戰地風情及欣賞自然生態美景。2025年活動共4梯次，於4月15日上午9時開放報名。1.每梯次參加人員上限40人。2.活動辦理方式：每梯3天、由專業領騎帶領導覽解說。3.報名費800元。4.免費提供優質的單車(含安全帽)借用5.贈送紀念車衣、紀念品活動時間：預計推出4梯次，分別於5、6月間辦理，辦理日期為5月17-19日、5月24-26日、6月6-8日、6月13-15日活動地點：大小金門主辦單位：內政部國公園署金門國家公園管理處連絡電話：遊憩服務科張小姐 082-313215各活動時間及地點以主辦單位最新公告為主,,詳見官網,,886-8-2318823,金門縣政府,5/17/2025 12:00:00 AM,6/15/2025 11:59:59 PM,,,,,,,,,,118.317050,24.435860,03,  ,,,,,,金門縣,金城鎮
C2_371020000A_003914,浯島城隍文化觀光季,⦿ 4/12 (六) 2025年浯島城隍文化季開幕典禮時間：下午14:00  地點：浯島城隍廟前廣場⦿ 4/12(六)愛戀金城音樂會時間：19:00   地點：  文化局⦿ 4/12(六)-5/7(三)心城則靈祈福活動時間：10:00-18:00  集合地點：迎城隍前廣場⦿ 4/12(六)-5/8(四)專人導覽後浦小鎮時間：19:30-21:30  集合地點：金城鎮總兵署⦿ 4/17(四)天上聖母暨蘇府四王爺巡安遶境(城隍廟主辦)時間：13:30  地點: 商會/模範街 ⦿ 四境特色藝陣表演踩街及蜈蚣座體驗時間：第一場次:4月18日-4月19日18:30-22:00    地點: 北鎮廟第二場次:4月22日-4月25日18:30-22:00    地點:北鎮廟第三場次:4月30日-5月 2日 18:30-22:00    地點:北鎮廟第四場次(僅有特色藝陣表演-跳樁及南獅表演):5月8日19:00   地點:北鎮廟⦿ 4/21-5/15(截止收件日)迎城隍主題繪畫比賽⦿ 4/26(六)親子蜈蚣座嘉年華踩街時間:16:00-19:00       地點:金城國中體育館出發⦿ 5/2(五)-5/4(日)昇平五洲團「蚊子大搬家」時間:5/2 19:30於外武廟;5/3 19:30於城隍廟; 5/4 15:00於北鎮武廟⦿ 5/3(六)地方特色藝陣大遊行時間：16:30-20:30  地點：總兵署前廣場及後浦城區⦿ 5/6(二)-5/8(四)上西園掌中劇團「風獅爺捉虎記」時間: 19:00 地點:5/6於城隍廟;5/7於北鎮廟;5/8於外武廟⦿ 5/9(五)農曆四月十二浯島城隍遷治345週年遶境時間：13:00         遶境起點：浯島城隍廟2025浯島城隍文化觀光季活動行事曆主辦單位：金城鎮公所觀光課活動時間：4月12日至5月15日活動地點：金城鎮連絡電話：王小姐 082-325057各活動時間及地點以主辦單位最新公告為主,,詳見官網,,886-8-2318823,金門縣政府,4/12/2025 12:00:00 AM,5/15/2025 11:59:59 PM,,,,,,,,,,118.315510,24.432060,03,  ,,,,,,金門縣,金城鎮
C2_371020000A_003915,2025金寧鄉石蚵文化季,金寧鄉特有的石蚵，結合觀光、生態等資源，來塑造地方產業特色．以食農教育為推廣方向，與在地蚵農合作舉辦「超頂!千人剝蚵大挑戰」，親身體驗傳統產業文化。   主活動日舉辦「激鬥!石蚵大胃王最強賽」，玩轉傳統產業以創新的活動方式看到更不一樣的產業魅力，以及大型親子活動「大放電!春日親子遊樂園」，設置多樣遊樂設施與闖關活動結合在地攤商帶來歡樂有趣的嘉年華會。活動時間、地點、內容：一、114年3月24日下午2點  活動記者發布會活動地點: 古寧頭北山出海口二、114年4月12日下午4點  (一)超頂!千人剝蚵大挑戰預定114年4月12日下午16點(配合潮汐)於北山出海口舉辦，邀集民眾遊客，共同體驗蚵民剝蚵樂趣，現場自由入座，額滿為止。。(二)free!石蚵特色料理品嘗加完「超頂!千人剝蚵大挑戰」活動之民眾，公所特別加碼贈送參與民眾每人一份蚵仔麵線，數量有限，發完為止。活動地點: 古寧頭北山出海口三、114年4月19~20日下午2點~晚上9點  (一)大放電!春日親子遊樂園活動以親子遊戲嘉年華為特色，以兒童遊樂園型式，目的吸引更多的親子家庭同樂。計有刺激海盜船、飄移飛車、旋轉飛機、旋轉小火車、充氣城堡、夜市遊戲機檯等及許多親子互動遊戲，營造親子共融歡樂氣氛。(二)瘋起來!LOCAL音樂派對本次特別著重「吸引跨世代族群」的觀念，除在地社區文化團隊、金大外籍生演唱、魔術、舞蹈、雜耍等各類型表演，主活動兩日晚上的「瘋起來!LOCAL音樂派對」特別邀請「金曲歌王翁立友」、「本土女神向蕙玲」、「甜美小公主-張羽靚」、「台語情歌天后-林珊」、「開心男團黑旋風」、「YOYO台姊姊」、「慢搖女神DJ小漾」作為晚會表演。以「吸引跨世代族群」風格實踐導入文化季，透過實質的藝文表演，打破離島文化資源缺乏的藩籬，帶動民眾文化參與，充分展現世代文化的交流。(三)美食管夠!獨家市集共計50個創意市集攤位攤商販售內容以金門地區鄉民之農特產、特色小吃、金門文創商品為主並符合環保、生態、食農教育之攤商為主，熱（熟）食、冷飲、地方特色小吃、風味餐等料理品嚐。(四)送送送!闖關好禮大放爽設計活動闖關3個關卡。增加親子互...,,詳見官網,,886-8-2318823,金門縣政府,3/24/2025 12:00:00 AM,4/20/2025 11:59:59 PM,,,,,,,,,,118.306980,24.451420,03,  ,,,,,,金門縣,金寧鄉
C2_371020000A_003916,2025烈嶼親子童玩節,藉由習山湖公園的多功能的硬體設施，營造趣味性十足氣墊水樂園、泡泡趴、闖關遊戲等活動，並結合沙雕DIY獨有的教育性、創意性、雕塑性、繪畫與娛樂等，吸引更多的親子、遊客參與，一起度過有意義、快樂的暑假。主辦單位：烈嶼鄉公所活動時間：8/9-8/10活動地點：金門縣烈嶼鄉連絡電話：烈嶼鄉公所農觀課 082-364510各活動時間及地點以主辦單位最新公告為主,,詳見官網,,886-8-2318823,金門縣政府,8/9/2025 12:00:00 AM,8/10/2025 11:59:59 PM,,,,,,,,,,118.250030,24.424660,03,  ,,,,,,金門縣,烈嶼鄉
C2_371020000A_003917,浦揪文創市集,結合後浦十六藝文特區文創商家並邀請台金特色攤位進駐，於每季季末提供旅客及在地金門鄉親體驗及挖寶的樂趣。主辦單位：金城鎮公所觀光課活動時間：第一場 6/13-6/15第二場 9/12-9/14第三場 12/5-12/7活動地點：後浦十六藝文特區連絡電話：王小姐 082-325057各活動時間及地點以主辦單位最新公告為主,,詳見官網,,886-8-2318823,金門縣政府,6/13/2025 12:00:00 AM,12/7/2025 11:59:59 PM,,,,,,,,,,118.316870,24.432890,03,  ,,,,,,金門縣,金城鎮
